"...1","trainId","num_key_cars","num_hazard_shipments"
1016,31693,0,74
1017,31697,0,96
1026,31740,0,29
1042,31787,0,75
1049,31810,3,160
1066,32008,0,55
1075,32040,0,47
1081,32056,0,24
1085,32070,2,68
1087,32075,0,208
1088,32082,0,39
1103,32233,0,42
1115,32352,3,87
1120,32400,0,105
1123,32416,0,21
1132,32453,0,53
1135,32473,0,145
1139,32509,0,33
1158,32641,0,57
1167,32708,0,72
1170,32720,0,25
1176,32743,10,11
1178,32748,0,20
1180,32786,0,22
1190,32915,0,32
1195,32979,0,118
1197,32989,0,149
1198,32990,0,82
1214,33096,4,89
1215,33105,0,28
1223,33218,0,25
1231,33392,0,43
1232,33395,0,31
1238,33436,0,86
1240,33445,0,171
1241,33449,0,72
1263,33570,0,209
1265,33628,0,173
1276,33730,0,63
1277,33736,0,82
1281,33753,0,43
1282,33762,0,204
1286,33799,0,66
1291,33832,0,31
1298,33881,0,41
1299,33885,0,28
1301,33906,1,44
1314,34045,0,33
1316,34055,0,20
1324,34085,0,32
1326,34091,0,26
1327,34093,0,22
1333,34120,0,40
1336,34156,1,47
1339,34196,0,34
1344,34288,0,147
1348,34310,0,30
1362,34376,0,85
1372,34434,0,47
1374,34471,0,63
1382,34619,0,75
1405,34744,0,49
1406,34749,0,23
1413,34832,0,80
1417,34878,0,82
1419,34889,4,33
1432,35030,0,65
1437,35046,0,44
1450,35105,1,63
1456,35231,0,66
1460,35317,5,18
1469,35465,0,32
1479,35528,0,38
1489,35565,0,25
1490,35568,0,127
1503,35649,0,23
1508,35671,0,56
1510,35680,0,34
1515,35709,0,36
1520,35748,0,51
1529,35788,0,168
1537,35820,0,23
1544,35886,11,11
1554,35948,0,92
1557,35984,0,32
1560,35994,0,44
1566,36015,0,36
1569,36027,0,79
1584,36190,0,197
1585,36243,0,58
1604,36435,0,25
1605,36437,0,74
1619,36605,1,63
1634,36898,0,109
1636,36904,0,23
1664,37165,0,88
1670,37216,1,53
1672,37237,0,174
1675,37247,1,21
1677,37251,0,65
1679,37290,0,59
1690,37339,0,37
1695,37401,6,8
1708,37557,0,44
1709,37564,0,80
1715,37609,0,46
1717,37626,0,22
1722,37667,0,25
1723,37714,0,95
1730,37762,0,66
1736,37895,0,60
1738,37926,0,32
1743,37994,0,95
1745,38028,0,65
1750,38116,0,87
1759,38173,2,21
1760,38181,1,126
1765,38205,0,22
1769,38235,0,76
1770,38241,5,161
1772,38260,0,59
1781,38326,0,36
1787,38384,0,66
1794,38431,0,23
1800,38461,0,165
1801,38463,3,28
1805,38518,0,21
1807,38566,2,20
1829,38734,0,65
1832,38766,0,122
1838,38857,0,40
1840,38887,5,6
1843,38967,0,78
1848,39012,0,77
1849,39017,0,28
1856,39058,5,56
1859,39074,0,22
1876,39189,0,156
1877,39190,0,40
1878,39194,0,52
1881,39203,0,160
1884,39223,0,88
1891,39298,0,82
1893,39325,0,91
1899,39364,0,26
1903,39423,0,27
1907,39448,0,49
1909,39459,0,126
1926,39590,0,81
1928,39601,0,61
1933,39632,0,22
1947,39738,0,26
1948,39755,0,130
1950,39783,0,131
1962,39966,0,33
1970,40029,0,66
1974,40120,1,24
1979,40169,0,27
1983,40210,0,107
1986,40266,0,90
2007,40392,0,57
2016,40558,7,27
2017,40606,0,36
2018,40641,0,80
2021,40666,0,86
2029,40715,0,85
2033,40740,3,58
2043,40802,0,90
2050,40904,0,76
2054,40956,0,22
2059,41047,0,52
2060,41048,1,28
