"sightingId","trainId","sensorId","detectionTimeUTC","detectionTimeSensorLocal","detectionEndUTC","detectionEndSensorLocal","direction","speedMph","trainType","trainOperator","warnings","issues","lastModified","estGallonageCapacity","estCubicFeetCapacity","estloadLimitTons","estTareWeightTons","estGrossWeightTons","estLengthFeet"
214427,137422,47,"2022-06-14T11:59:32.186Z","2022-06-14T05:59:32.186-06:00[America/Edmonton]",NA,NA,"Eastbound",57.1151520818012,"Petroleum Unit","CN","[]","[]","2022-06-17T07:13:11.232Z",2873747.69620253,NA,7045.24286685416,4266.46618309818,11311.7090499523,5777.33122362869
214607,138133,71,"2022-06-14T17:13:35.303Z","2022-06-14T14:13:35.303-03:00[America/Halifax]",NA,NA,"Westbound",52.140341409278,"Manifest","CN","[]","[]","2022-06-17T07:18:37.789Z",1203229.18181818,121584.5,7793.26969221194,3817.06599442175,11610.3356866337,6195.94318181818
214950,137520,47,"2022-06-15T05:46:17.195Z","2022-06-14T23:46:17.195-06:00[America/Edmonton]",NA,NA,"Eastbound",57.284400901135,"Intermodal","CN","[]","[]","2022-06-17T09:22:25.833Z",1367508.54545455,NA,16169.2770961945,6248.27493063207,22417.5520268266,14455.8814616756
215073,137751,47,"2022-06-15T10:17:57.651Z","2022-06-15T04:17:57.651-06:00[America/Edmonton]",NA,NA,"Eastbound",54.5068943364471,"Manifest","CN","[]","[]","2022-06-15T10:30:08.967Z",2832320.50632911,223271.32,10808.2973517046,5430.26474833008,16238.5621000347,8146.36320675105
216048,138172,47,"2022-06-16T20:57:12.738Z","2022-06-16T14:57:12.738-06:00[America/Edmonton]",NA,NA,"Eastbound",54.1737533390863,"Manifest","CN","[]","[]","2022-06-16T21:16:56.201Z",2802485,360872.657142857,13139.9626585159,6211.51601011292,19351.4786686288,9626.70952380952
216066,138161,47,"2022-06-16T21:36:57.764Z","2022-06-16T15:36:57.764-06:00[America/Edmonton]",NA,NA,"Eastbound",55.4648520926927,"Manifest","CN","[]","[]","2022-06-16T22:00:32.937Z",1514557.86666667,392401.498964803,15592.079738126,5417.95821336378,21010.0379514897,9348.29528985507
216396,138605,8,"2022-06-17T09:03:17.606Z","2022-06-17T02:03:17.606-07:00[America/Vancouver]",NA,NA,"Westbound",53.6933811327511,"Petroleum Unit","CN","[]","[]","2022-06-17T09:36:03.884Z",3083721.9113924,80012.7272727273,12818.3368483266,5102.96779265781,17921.3046409844,7669.91052934407
216442,138672,8,"2022-06-17T10:47:42.288Z","2022-06-17T03:47:42.288-07:00[America/Vancouver]",NA,NA,"Westbound",53.2838748871852,"Manifest","CN","[]","[]","2022-06-21T10:10:56.321Z",1378759,313753.153256705,12138.9038605174,4158.07817512035,16296.9820356377,6672.0319284802
216719,139176,71,"2022-06-17T18:57:31.840Z","2022-06-17T15:57:31.84-03:00[America/Halifax]",NA,NA,"Westbound",50.7440448703691,"Manifest","CN","[]","[""Partial sighting""]","2022-06-17T20:44:02.007Z",736557.176470588,29850,3737.34980184231,3059.21133367635,6796.56113551865,4899.68137254902
217183,138915,8,"2022-06-18T11:34:02.523Z","2022-06-18T04:34:02.523-07:00[America/Vancouver]",NA,NA,"Westbound",51.4993884329247,"Manifest","CN","[]","[]","2022-06-21T12:46:46.504Z",2612720,125417.952380952,12854.9346545056,6835.39618297523,19690.3308374808,11246.0297198682
217234,139165,55,"2022-06-18T13:40:31.174Z","2022-06-18T06:40:31.174-07:00[America/Vancouver]",NA,NA,"Eastbound",50.0432244140287,"Manifest","CN","[]","[]","2022-06-21T07:48:36.823Z",1630824.18604651,179682.854545455,11564.0763436865,3963.75643408555,15527.8327777721,7124.2706483439
217374,138876,47,"2022-06-18T18:54:47.567Z","2022-06-18T12:54:47.567-06:00[America/Edmonton]",NA,NA,"Eastbound",56.4382360596779,"Manifest","CN","[]","[]","2022-06-20T14:23:14.713Z",1626406.89655172,24724,9594.33597577044,4290.84756899691,13885.1835447674,7758.86590038314
217450,138858,8,"2022-06-18T20:47:43.899Z","2022-06-18T13:47:43.899-07:00[America/Vancouver]",NA,NA,"Westbound",51.5999635066342,"Manifest","CN","[]","[""Partial sighting""]","2022-06-19T22:03:50.206Z",787165,506911.201863354,12962.4676212516,4749.19499782362,17711.6626190752,8543.61904761905
217484,138698,47,"2022-06-18T22:34:50.999Z","2022-06-18T16:34:50.999-06:00[America/Edmonton]",NA,NA,"Eastbound",55.5960341035686,"Manifest","CN","[]","[]","2022-06-18T22:56:36.799Z",1727125.91304348,146881.8,10160.8227126445,4100.86156652675,14261.6842791713,6752.59710144927
