"Date & Time","Date","Speed mph","excessSpeed","trainId","Speed Limit","Local Time","Location"
"2024-10-01T01:26:43.235-04:00[America/New_York]",2024-10-01,45.7121830801634,-4.2878169198366,1032527,"Operating Within Limits","20:30 PM","East Palestine, OH"
"2024-10-01T15:19:57.758-04:00[America/New_York]",2024-10-01,46.2409389954886,-3.7590610045114,1033509,"Operating Within Limits","10:23 AM","East Palestine, OH"
"2024-10-02T07:10:07.79-04:00[America/New_York]",2024-10-02,41.9526411305599,-8.0473588694401,1034718,"Operating Within Limits","02:14 AM","East Palestine, OH"
"2024-10-03T05:18:04.651-04:00[America/New_York]",2024-10-03,9.79546321677499,-40.204536783225,1036536,"Operating Within Limits","00:22 AM","East Palestine, OH"
"2024-10-03T11:49:17.767-04:00[America/New_York]",2024-10-03,48.2983616783571,-1.7016383216429,1037122,"Operating Within Limits","06:53 AM","East Palestine, OH"
"2024-10-04T07:06:50.561-04:00[America/New_York]",2024-10-04,59.286808721886,9.286808721886,1038615,"Minor Violations","02:10 AM","East Palestine, OH"
"2024-10-04T19:51:42.366-04:00[America/New_York]",2024-10-04,42.0295621914055,-7.9704378085945,1039735,"Operating Within Limits","14:55 PM","East Palestine, OH"
"2024-10-05T09:25:52.123-04:00[America/New_York]",2024-10-05,37.8827547313183,-12.1172452686817,1040715,"Operating Within Limits","04:29 AM","East Palestine, OH"
"2024-10-06T03:39:42.374-04:00[America/New_York]",2024-10-06,59.8165588821491,9.8165588821491,1041991,"Minor Violations","22:43 PM","East Palestine, OH"
"2024-10-06T05:20:03.295-04:00[America/New_York]",2024-10-06,44.6846458273535,-5.3153541726465,1042026,"Operating Within Limits","00:24 AM","East Palestine, OH"
"2024-10-06T20:35:28.55-04:00[America/New_York]",2024-10-06,41.690054314013,-8.309945685987,1043017,"Operating Within Limits","15:39 PM","East Palestine, OH"
"2024-10-07T10:04:26.055-04:00[America/New_York]",2024-10-07,44.4328003939802,-5.5671996060198,1044019,"Operating Within Limits","05:08 AM","East Palestine, OH"
"2024-10-07T10:55:22.262-04:00[America/New_York]",2024-10-07,34.6777003709264,-15.3222996290736,1044054,"Operating Within Limits","05:59 AM","East Palestine, OH"
"2024-10-08T01:26:07.923-04:00[America/New_York]",2024-10-08,42.7831387837354,-7.2168612162646,1045205,"Operating Within Limits","20:30 PM","East Palestine, OH"
"2024-10-08T09:28:37.58-04:00[America/New_York]",2024-10-08,42.5849213929342,-7.4150786070658,1045777,"Operating Within Limits","04:32 AM","East Palestine, OH"
"2024-10-08T14:43:09.447-04:00[America/New_York]",2024-10-08,43.4650788036675,-6.5349211963325,1046193,"Operating Within Limits","09:47 AM","East Palestine, OH"
"2024-10-10T21:36:32.332-04:00[America/New_York]",2024-10-10,42.6975165273967,-7.3024834726033,1050713,"Operating Within Limits","16:40 PM","East Palestine, OH"
"2024-10-11T02:42:58.268-04:00[America/New_York]",2024-10-11,41.0774951724407,-8.9225048275593,1051123,"Operating Within Limits","21:46 PM","East Palestine, OH"
"2024-10-11T08:45:08.498-04:00[America/New_York]",2024-10-11,37.8449950212599,-12.1550049787401,1051474,"Operating Within Limits","03:49 AM","East Palestine, OH"
"2024-10-11T14:14:14.758-04:00[America/New_York]",2024-10-11,59.2492738662287,9.2492738662287,1052051,"Minor Violations","09:18 AM","East Palestine, OH"
"2024-10-12T04:52:06.235-04:00[America/New_York]",2024-10-12,66.1001484569668,16.1001484569668,1053200,"Severe Violations of Safety Codes","23:56 PM","East Palestine, OH"
"2024-10-12T13:07:46.283-04:00[America/New_York]",2024-10-12,47.293524792331,-2.706475207669,1053701,"Operating Within Limits","08:11 AM","East Palestine, OH"
"2024-10-13T05:18:13.137-04:00[America/New_York]",2024-10-13,39.7152958528256,-10.2847041471744,1054771,"Operating Within Limits","00:22 AM","East Palestine, OH"
